model_tag,seed,seq_len,layer,n_layers,K,qbin,qbin_lo,qbin_hi,null_usage,scale0_usage,scale1_usage,scale2_usage
medium,42,4096,8,24,3,3,1536,2048,0.6357901096343994,0.27529677748680115,0.09235769510269165,0.12263670563697815
medium,42,4096,8,24,3,4,2048,2560,0.6375534534454346,0.27332910895347595,0.09306342899799347,0.11772432178258896
medium,42,4096,8,24,3,5,2560,3072,0.6428415775299072,0.2680356502532959,0.09084182977676392,0.11476206034421921
medium,42,4096,8,24,3,6,3072,3584,0.6422023177146912,0.2677556276321411,0.09091446548700333,0.1131490170955658
medium,42,4096,8,24,3,7,3584,4096,0.6424439549446106,0.2678762674331665,0.0923067256808281,0.11179783195257187
medium,42,4096,9,24,3,0,0,512,0.42772066593170166,0.24302080273628235,0.44377583265304565,0.29175248742103577
medium,42,4096,9,24,3,1,512,1024,0.4150046110153198,0.26031798124313354,0.453741192817688,0.30182886123657227
medium,42,4096,9,24,3,2,1024,1536,0.4183705449104309,0.261460542678833,0.45022299885749817,0.3043724298477173
medium,42,4096,9,24,3,3,1536,2048,0.40761855244636536,0.2642488479614258,0.4512549638748169,0.31960737705230713
medium,42,4096,9,24,3,4,2048,2560,0.41789209842681885,0.26053619384765625,0.44371041655540466,0.31506603956222534
medium,42,4096,9,24,3,5,2560,3072,0.4292236566543579,0.25006771087646484,0.43901512026786804,0.31290677189826965
medium,42,4096,9,24,3,6,3072,3584,0.4301247298717499,0.2483762800693512,0.43782052397727966,0.3203984797000885
medium,42,4096,9,24,3,7,3584,4096,0.4294957220554352,0.24773871898651123,0.4360867440700531,0.32360532879829407
medium,42,4096,10,24,3,0,0,512,0.4135204255580902,0.32279345393180847,0.40285101532936096,0.3575285077095032
medium,42,4096,10,24,3,1,512,1024,0.40343552827835083,0.34899085760116577,0.41680046916007996,0.35199174284935
medium,42,4096,10,24,3,2,1024,1536,0.4016461670398712,0.35824546217918396,0.4219624400138855,0.35106179118156433
medium,42,4096,10,24,3,3,1536,2048,0.4088309109210968,0.3597124516963959,0.4178423583507538,0.34858039021492004
medium,42,4096,10,24,3,4,2048,2560,0.4041641354560852,0.3649381995201111,0.42182445526123047,0.35742586851119995
medium,42,4096,10,24,3,5,2560,3072,0.4083017408847809,0.3636031448841095,0.42560452222824097,0.35441523790359497
medium,42,4096,10,24,3,6,3072,3584,0.40964576601982117,0.3607330620288849,0.42649662494659424,0.3553808331489563
medium,42,4096,10,24,3,7,3584,4096,0.4058808386325836,0.36577579379081726,0.4304072856903076,0.3566892445087433
medium,42,4096,11,24,3,0,0,512,0.26422393321990967,0.5570974946022034,0.36265236139297485,0.40309634804725647
medium,42,4096,11,24,3,1,512,1024,0.24376815557479858,0.5787547826766968,0.3999655842781067,0.4209946095943451
medium,42,4096,11,24,3,2,1024,1536,0.23623016476631165,0.5840326547622681,0.40492600202560425,0.43259310722351074
medium,42,4096,11,24,3,3,1536,2048,0.23068296909332275,0.583964467048645,0.4057433307170868,0.4426746368408203
medium,42,4096,11,24,3,4,2048,2560,0.22547832131385803,0.5841526389122009,0.4074169099330902,0.4491210877895355
medium,42,4096,11,24,3,5,2560,3072,0.22476385533809662,0.5850832462310791,0.40265747904777527,0.45378631353378296
medium,42,4096,11,24,3,6,3072,3584,0.22280855476856232,0.5845872759819031,0.40142327547073364,0.45735791325569153
medium,42,4096,11,24,3,7,3584,4096,0.21902550756931305,0.5846291780471802,0.4020839035511017,0.458053857088089
medium,42,4096,12,24,3,0,0,512,0.26818716526031494,0.4029406011104584,0.43129295110702515,0.43273404240608215
